# record       pore-nm      avg-radius
# Raindance surfactant 1% w/w
6              200            89.5
7              200            87.94

8              50             99.16
9              50             109.3
10             50             109.1

11             100            104.0
12             100            115.0
13             100            113.7
14             100            109.2
15             100            113.1
16             100            112.0

17             400            81.16
18             400            93.76
19             400            91.26
20             400            92.84
21             400            94.48

22             800            86.23
23             800            149.8
24             800            164.0
25             800            164.9
26             800            159.7
27             800            159.2

28             1000           95.81
29             1000           107.0
30             1000           112.1
31             1000           110.7

# RAN surfactant, 2% w/w
32             1000           110.3
33             1000           119.5
34             1000           117.8

