Run No. Sample  C.  Exc. TypExc. PoweSurf. DiExp. Typ Buffer NaCl MgCl2 Glyc.476 nm  TX  MV PCD  PCA  Prep Dilutio CO2  Sonic DuratioAve. D/A
  000  RRNA DA 50nM  514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2 mins 30 mins97k/244k
  001  RRNA DA 50nM  514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2+2 min56 mins221k/486
  002  RRNA DA 50nM  514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2 mins 65 mins254k/580
  003   RRNA D 50nM  514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2+2 min60 mins299k/503
  004  FRNA DA 100nM 514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2 mins 66 mins248k/594
  005  FRNA DA 200nM 514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2 mins 70 mins309k/675
  006   FRNA D 100nM 514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2+2 min63 mins248k/516
  007   FRNA D 200nM 514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2+2 min60 mins279k/499
  008   Buffer       514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2 mins 40 mins128k/333
  009  RRNA DA 50nM  514nm    10uW   30 ticksDiff. Dr H 20mM 50mM  5mM   No    No   1mM 1mM 15nM2.5mM FC40  FC77  FC77 2 mins 64 mins260k/608
